127.0.0.1 - - [22/Oct/2020:09:22:12 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:20 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10605
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:20 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:20 +0530] "GET /E-Commerce-Project/Images/Products-img/acer-na-gaming-laptop-original-imafrcpya8phvptc.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:20 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 200 2647
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:20 +0530] "GET /E-Commerce-Project/Images/Products-img/hp-original-imafrzbfruxgg23e.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:20 +0530] "GET /E-Commerce-Project/Images/Products-img/add-to-basket.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:20 +0530] "GET /E-Commerce-Project/Images/Products-img/apple-iphone-se-mxd02hn-a-original-imafrcpjfehbbqgb.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:20 +0530] "GET /E-Commerce-Project/Images/Products-img/samsung-galaxy-s20-sm-g985fzadinu-original-imafpfkbqg3hpmgt.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:20 +0530] "GET /E-Commerce-Project/Images/Products-img/motorola-one-fusion-pakf0002in-original-imafsh2zf4y3kayz.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:20 +0530] "GET /E-Commerce-Project/Images/Products-img/nokia-105-ss-ta-1203-original-imafmf5zgqnmtswb.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:22:21 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:26:06 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10605
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:26:06 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:26:06 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:26:07 +0530] "GET /E-Commerce-Project/Images/Products-img/acer-na-gaming-laptop-original-imafrcpya8phvptc.jpeg HTTP/1.1" 200 56400
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:26:07 +0530] "GET /E-Commerce-Project/Images/Products-img/hp-original-imafrzbfruxgg23e.jpeg HTTP/1.1" 200 57461
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:26:07 +0530] "GET /E-Commerce-Project/Images/Products-img/add-to-basket.png HTTP/1.1" 200 8256
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:26:07 +0530] "GET /E-Commerce-Project/Images/Products-img/apple-iphone-se-mxd02hn-a-original-imafrcpjfehbbqgb.jpeg HTTP/1.1" 200 37696
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:26:07 +0530] "GET /E-Commerce-Project/Images/Products-img/motorola-one-fusion-pakf0002in-original-imafsh2zf4y3kayz.jpeg HTTP/1.1" 200 25989
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:26:07 +0530] "GET /E-Commerce-Project/Images/Products-img/nokia-105-ss-ta-1203-original-imafmf5zgqnmtswb.jpeg HTTP/1.1" 200 33671
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:26:07 +0530] "GET /E-Commerce-Project/Images/Products-img/samsung-galaxy-s20-sm-g985fzadinu-original-imafpfkbqg3hpmgt.jpeg HTTP/1.1" 200 46126
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:42:16 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 11076
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:42:16 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:42:33 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 11084
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:42:33 +0530] "GET /E-Commerce-Project/... HTTP/1.1" 404 735
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:44:03 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 11477
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:44:03 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:09:44:05 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 11477
