127.0.0.1 - - [24/Oct/2020:08:50:10 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:16 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10686
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:16 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:16 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:16 +0530] "GET /E-Commerce-Project/Images/Products-img/acer-na-gaming-laptop-original-imafrcpya8phvptc.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:16 +0530] "GET /E-Commerce-Project/Images/Products-img/hp-original-imafrzbfruxgg23e.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:16 +0530] "GET /E-Commerce-Project/Images/Products-img/add-to-basket.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:16 +0530] "GET /E-Commerce-Project/Images/Products-img/samsung-galaxy-s20-sm-g985fzadinu-original-imafpfkbqg3hpmgt.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:16 +0530] "GET /E-Commerce-Project/Images/Products-img/apple-iphone-se-mxd02hn-a-original-imafrcpjfehbbqgb.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:16 +0530] "GET /E-Commerce-Project/Images/Products-img/motorola-one-fusion-pakf0002in-original-imafsh2zf4y3kayz.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:16 +0530] "GET /E-Commerce-Project/Images/Products-img/nokia-105-ss-ta-1203-original-imafmf5zgqnmtswb.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:50:17 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:52:26 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10686
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:52:27 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 200 3277
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:52:30 +0530] "GET /E-Commerce-Project/Checkout.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:53:22 +0530] "GET /E-Commerce-Project/Checkout.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:53:24 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10707
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:53:24 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 200 3246
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:53:25 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10707
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:53:29 +0530] "GET /E-Commerce-Project/Checkout.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:54:34 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10707
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:54:34 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:08:54:37 +0530] "GET /E-Commerce-Project/Checkout.jsp HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:03:23 +0530] "GET /E-Commerce-Project/Checkout.jsp HTTP/1.1" 200 4141
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:03:23 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:04:35 +0530] "GET /E-Commerce-Project/Checkout.jsp HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:04:35 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:10:13 +0530] "GET /E-Commerce-Project/Checkout.jsp HTTP/1.1" 200 4865
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:10:13 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:15:15 +0530] "GET /E-Commerce-Project/Checkout.jsp HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:15:15 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:15:25 +0530] "GET /E-Commerce-Project/Checkout.jsp? HTTP/1.1" 200 5295
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:15:33 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10707
0:0:0:0:0:0:0:1 - - [24/Oct/2020:09:15:51 +0530] "GET /E-Commerce-Project/Checkout.jsp HTTP/1.1" 200 5295
