127.0.0.1 - - [23/Oct/2020:10:07:32 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:11:40 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:11:40 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:11:40 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:11:58 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:11:58 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:11:58 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:12:18 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:12:18 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:12:18 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:10 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:10 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:10 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:26 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:26 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:27 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:40 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:40 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:49 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:49 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:49 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:59 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:13:59 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:14:13 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:14:13 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:14:13 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:14:27 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:14:28 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:15:06 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:15:07 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:15:07 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:15:25 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:15:25 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 971
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:15:44 +0530] "GET /E-Commerce-Project/index.jsp HTTP/1.1" 200 10661
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:15:44 +0530] "GET /E-Commerce-Project/JS/Script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2020:10:15:44 +0530] "GET /E-Commerce-Project/CSS/Style.css HTTP/1.1" 200 971
